Numero	Titulo	Linguagem
1000	Hello_World	cpp
1000	Hello_World	java
1001	Extremamente_Basico	cpp
1001	Extremamente_Basico	java
1002	Area_do_Circulo	cpp
1002	Area_do_Circulo	java
1003	Soma_Simples	cpp
1003	Soma_Simples	py
1004	Produto_Simples	cpp
1004	Produto_Simples	java
1005	Media_1	cpp
1005	Media_1	java
1006	Media_2	cpp
1006	Media_2	java
1007	Diferenca	cpp
1007	Diferenca	java
1008	Salario	cpp
1008	Salario	java
1008	Salario	py
1009	Salario_com_Bonus	cpp
1009	Salario_com_Bonus	java
1010	Calculo_Simples	cpp
1010	Calculo_Simples	java
1011	Esfera	cpp
1011	Esfera	java
1012	Area	cpp
1012	Area	java
1013	O_Maior	cpp
1013	O_Maior	java
1013	O_Maior	py
1014	Consumo	cpp
1014	Consumo	java
1015	Distancia_entre_dois_pontos	java
1016	Distancia	cpp
1016	Distancia	java
1017	Gasto_de_Combustivel	cpp
1017	Gasto_de_Combustivel	java
1018	Cedulas	cpp
1018	Cedulas	java
1019	Conversao_de_Tempo	cpp
1019	Conversao_de_Tempo	java
1020	Idade_em_Dias	cpp
1020	Idade_em_Dias	java
1021	Notas_e_Moedas	java
1021	Notas_e_Moedas	py
1024	Criptografia	java
1028	Figurinhas	java
1028	Figurinhas	py
1035	Teste_de_Selecao_1	cpp
1035	Teste_de_Selecao_1	java
1035	Teste_de_Selecao_1	py
1036	Formula_de_Bhaskara	cpp
1036	Formula_de_Bhaskara	java
1037	Intervalo	cpp
1037	Intervalo	java
1038	Lanche	cpp
1038	Lanche	java
1040	Media_3	cpp
1040	Media_3	java
1041	Coordenadas_de_um_Ponto	cpp
1041	Coordenadas_de_um_Ponto	java
1042	Sort_Simples	cpp
1042	Sort_Simples	java
1042	Sort_Simples	py
1043	Triangulo	cpp
1043	Triangulo	java
1044	Multiplos	cpp
1044	Multiplos	java
1044	Multiplos	py
1045	Tipos_de_Triangulos	cpp
1045	Tipos_de_Triangulos	java
1046	Tempo_de_Jogo	cpp
1046	Tempo_de_Jogo	java
1047	Tempo_de_Jogo_com_Minutos	cpp
1047	Tempo_de_Jogo_com_Minutos	java
1048	Aumento_de_Salario	cpp
1048	Aumento_de_Salario	java
1049	Animal	cpp
1049	Animal	java
1049	Animal	py
1050	DDD_v2	java
1050	DDD	cpp
1050	DDD	java
1050	DDD_V2	cpp
1051	Imposto_de_Renda	cpp
1051	Imposto_de_Renda	java
1052	Mes	cpp
1052	Mes	java
1052	Mes	py
1052	Mes_V2	cpp
1059	Numeros_Pares	cpp
1059	Numeros_Pares	java
1060	Numeros_Positivos	cpp
1060	Numeros_Positivos	java
1061	Tempo_de_um_Evento	java
1064	Positivos_e_Media	java
1065	Pares_entre_5_Numeros	java
1066	Pares_Impares_Positivos	java
1067	Numeros_Impares	java
1067	Numeros_Impares	cpp
1068	Balanco_de_Parenteses_I	java
1069	Diamantes_e_Areia	java
1070	6_Numeros_Impares	java
1071	Soma_de_Impares_Consec	java
1072	Intervalo_2	java
1073	Quadrado_de_Pares	java
1074	Par_ou_Impar	java
1075	Resto_2	java
1078	Tabuada	cpp
1078	Tabuada	java
1078	Tabuada_V2	cpp
1079	Medias_Ponderadas	java
1080	Maior_e_Posicao	java
1087	Dama	java
1094	Experiencias	java
1095	Sequencia_IJ_1	java
1096	Sequencia_IJ_2	java
1097	Sequencia_IJ_3	java
